Profile ID,Advocacy,Advocacy Description,Product/Service,Product/Service Description,Organizational Optimization,Organizational Optimization Description,Research,Research Description,Other,Use - Other Description,,Processed
475,FALSE,,TRUE,creators of Kidsdata.org with data on more than 500 measures of child health and well being for every county -  city -  school district -  and legislative district in California.,FALSE,,FALSE,,FALSE,,,0
476,FALSE,Help cities to Open Data and work smarter and deliver results,FALSE,"Launch Open Data projects of Citadel on the Move, Open Transport Net, ECIM, agINFRA, which provide government connections, transport-related services, smarter mobility services, agricultural industry conncetions.",FALSE,,TRUE,unlocking the fuel for Open Innovation and Smarter Services,FALSE,,,1
477,FALSE,,TRUE,"app uses local zoning data to provide an interactive map that lets users find out how their building is zoned, learn where to locate their business, and explore zoning patterns throughout the city",FALSE,,FALSE,,FALSE,,,1
479,FALSE,,FALSE,,TRUE,Uses weather data and agriculture data to offer new tools that allow you to measure and supply the right amount of N when the plant is ready to use it.,FALSE,,FALSE,,,1
479,FALSE,"Use environmental data for better decision making, safety and efficiency",TRUE,"Provides various environmental related products, systems and services to provide decision making advice ",FALSE,,FALSE,,FALSE,,,1
480,TRUE,AAA has testified before Congress on the need for better data on car/truck crashes which can serve as the foundation for effective traffic safety solutions.,FALSE,,FALSE,,FALSE,,FALSE,,,0
481,FALSE,,TRUE,creates publications that provide technical standards for all phases of highway system development.,FALSE,,FALSE,,FALSE,,,1
482,TRUE,Uses parliament data to increase transparency in public dialogue.,FALSE,,FALSE,,FALSE,,FALSE,,,1
483,FALSE,,TRUE,Their Traditional Store Census is a tool that uses geospatial data to give customers a base of geo-referenced data on digital maps with a large number of shops.,FALSE,,FALSE,,FALSE,,,0
484,TRUE,Advocates for open data in Latina America and the Caribbean region. Organizer of ConDatos ABRE LATAM - Conferencia Regional de Datos Abiertos en AmÃ©rica Latina y el Caribe.,FALSE,,FALSE,,FALSE,,FALSE,,,0
485,TRUE,Advocactes for issues related to transparency and access to public information in Costa Rica.,FALSE,,FALSE,,FALSE,,FALSE,,,1
486,FALSE,,FALSE,,FALSE,,TRUE,"Uses open data to generate research and recommendations on how to tackle social issues (e.g. environment, education, food security).",FALSE,,,0
487,FALSE,,FALSE,,TRUE,used educational data,FALSE,,FALSE,,,0
488,TRUE,"Advocates for the exercise of the right of access to information, encourages the citizensâ€™ demand for government information through civic education, andt for enhanced transparency in the work of public institutions at central and local level.",FALSE,,FALSE,,FALSE,,FALSE,,,0
489,FALSE,,TRUE,Uses open weather data to provide weather forecast services.,FALSE,,FALSE,,FALSE,,,1
490,FALSE,,FALSE,,TRUE,integrate open data into probability models for risk calculation,FALSE,,FALSE,,,0
491,FALSE,,TRUE,FTSE 100 tax haven tracker uses businesses public records.,FALSE,,FALSE,,FALSE,,,1
492,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,,1
493,FALSE,,FALSE,,TRUE,comprehensive data aggregation -  unmatched data integrity -  flexible analytics -  intuitive reporting -  limitless customization and interactive portals,FALSE,,FALSE,,,0
494,FALSE,,TRUE,creation of indicators and indexes.,TRUE,market research -  feasibility and data validation,FALSE,,FALSE,,,1
495,TRUE,"Uses open data to produce non-partisan investigative reporting guided by public interest on Brazilian and Latin American current important issues from the people point of view, in order to strengthen the right to information, and to facilitate democratic debate and promotion of human rights.",FALSE,,FALSE,,FALSE,,FALSE,,,0
496,FALSE,,TRUE,The Agricultural Information System provides a databases of major crops to facilitate decision making for the agricultural industry.,FALSE,,FALSE,,FALSE,,,0
497,FALSE,,TRUE,the AgSquared software integrates U.S. soil and weather data to help farmers manage their farm.,FALSE,,FALSE,,FALSE,,,1
498,FALSE,,FALSE,,TRUE,Aianalytics uses data from government agencies to provide data analytics solutions for detecting fraud (fraud control) -  threats detection -  and cybersecurity. It also uses analytics solutions to provide other forms of risk management to companies and public organisations,FALSE,,FALSE,,,1
499,TRUE,"Collects, curates, and publishes data on more than $5.5 trillion dollars in development finance from 90 bilateral and multilateral agencies at the project level, making all of this information available in a searchable database of development finance activities.",FALSE,,FALSE,,FALSE,,FALSE,,,0
500,FALSE,,TRUE,Uses healthcare open data to recommend the most appropriate providers.,FALSE,,FALSE,,FALSE,,,1
503,FALSE,,FALSE,,TRUE,combines open and public data with own research to help funders and non-profits better understand the patterns -  and specifically the risks and opportunities in their funding environment.,FALSE,,FALSE,,,0
504,FALSE,,FALSE,,TRUE,uses open data for insights regarding their federal government procurement agreements.,FALSE,,FALSE,,,1
505,TRUE,provides testimony to Congress based on data related to vehicle safety -  traffic crashes and new technologies.,FALSE,,FALSE,,FALSE,,FALSE,,,0
506,FALSE,,TRUE,Door2Door application,FALSE,,FALSE,,FALSE,,,0
507,FALSE,,TRUE,"Uses education open data to develop college financial tools at the federal, college, and state levels.",FALSE,,FALSE,,FALSE,,,0
509,FALSE,,FALSE,,FALSE,,TRUE,Uses environment open data to product research towards a sustainable green living environment.,FALSE,,,1
510,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,,1
512,FALSE,,TRUE,AAMVA develops and maintains many information systems that facilitate the electronic exchange of driver -  vehicle -  and identity information between organizations.,FALSE,,TRUE,responding to data queries from members,FALSE,,,0
513,FALSE,,FALSE,,FALSE,,TRUE,conducts studies in the fields of education -  health -  work and training.,FALSE,,,1
514,TRUE,influence policy and support education programs for the advancement of the trucking industry.,FALSE,,FALSE,,FALSE,,FALSE,,,1
515,TRUE,"Works in collaboration with several international partners in the development of open government data, and has created widely adopted open data and format standards (like Blue Button and Open 311 API).",FALSE,,FALSE,,FALSE,,FALSE,,,0
